id,brand,pattern,grip,fuel_efficiency,seasonality,price,date,source
1,avon,ZV7,Wet Grip A,Fuel Efficiency D,Summer,72.99,2025-08-11T15:13:11.409188,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
2,goodyear,EfficientGrip Performance 2,Wet Grip A,Fuel Efficiency B,Summer,92.99,2025-08-11T15:13:11.410693,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
3,bridgestone,Turanza 6,Wet Grip A,Fuel Efficiency B,Summer,98.99,2025-08-11T15:13:11.410693,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
4,autogreen,Smart Chaser SC1,Wet Grip C,Fuel Efficiency E,Summer,48.99,2025-08-11T15:13:11.410693,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
5,sailun,Atrezzo Elite 2,Wet Grip A,Fuel Efficiency C,Summer,64.99,2025-08-11T15:13:11.410693,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
6,nankang,Nankang Eco-2+,Wet Grip B,Fuel Efficiency D,Summer,68.99,2025-08-11T15:13:11.410693,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
7,avon,ZV7,Wet Grip A,Fuel Efficiency D,Summer,74.99,2025-08-11T15:13:11.410693,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
8,nankang,Nankang AS-2+,Wet Grip A,Fuel Efficiency C,Summer,76.99,2025-08-11T15:13:11.410693,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
9,sailun,ATREZZO ZSR 2,Wet Grip A,Fuel Efficiency B,Summer,87.99,2025-08-11T15:13:11.410693,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
10,avon,ZV7,Wet Grip A,Fuel Efficiency D,Summer,87.99,2025-08-11T15:13:11.410693,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
11,avon,AS7,Wet Grip B,Fuel Efficiency C,All Season,96.99,2025-08-11T15:13:11.410693,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
12,avon,WX7 Winter,Wet Grip B,Fuel Efficiency D,Winter,100.99,2025-08-11T15:13:11.410693,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
13,hankook,Kinergy 4S2 H750,Wet Grip B,Fuel Efficiency C,All Season,103.99,2025-08-11T15:13:11.410693,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
14,hankook,Ventus Prime 3 K125,Wet Grip B,Fuel Efficiency A,Summer,109.99,2025-08-11T15:13:11.410693,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
15,hankook,Ventus Prime 3 K125,Wet Grip A,Fuel Efficiency B,Summer,115.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
16,dunlop,SP Sport BluResponse,Wet Grip A,Fuel Efficiency B,Summer,81.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
